site,monitor,date,start_hour,value,variable,units,quality,prelim,name,latitude,longitude,obs_type,monitoring_id,flag 
2032,A,2017-04-25,0,4.10,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-04-28,0,6.50,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-05-01,0,10.30,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-05-04,0,7.10,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-05-10,0,9.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-05-13,0,3.90,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-05-16,0,5.70,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-05-19,0,9.50,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-05-22,0,11.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-05-25,0,5.50,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-05-28,0,11.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-06-02,0,7.40,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-06-03,0,11.70,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-06-06,0,11.30,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-06-09,0,5.80,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-06-12,0,4.60,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-06-15,0,12.90,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-06-18,0,12.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-06-21,0,12.60,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-06-24,0,13.90,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-06-27,0,12.80,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-06-30,0,8.80,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-07-03,0,11.90,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-07-06,0,10.90,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-07-09,0,10.20,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-07-12,0,14.10,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-07-15,0,12.70,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-07-18,0,13.20,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-07-21,0,8.50,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-07-24,0,8.50,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-08-01,0,12.20,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-08-02,0,14.60,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-08-03,0,17.40,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-08-05,0,14.90,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-08-08,0,16.60,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-08-11,0,17.20,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-08-14,0,5.90,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-08-17,0,16.60,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-08-20,0,21.20,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-08-23,0,22.50,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-08-27,0,13.20,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-08-29,0,17.60,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-09-01,0,20.10,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-09-04,0,13.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-09-07,0,16.70,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-09-10,0,19.60,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-09-13,0,8.30,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-09-16,0,11.90,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-09-19,0,8.00,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-09-26,0,11.10,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-09-28,0,11.20,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-10-01,0,10.50,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-10-04,0,10.90,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-10-07,0,17.30,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-10-10,0,16.80,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-10-13,0,20.50,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-10-16,0,27.60,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-10-19,0,33.50,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-10-22,0,13.40,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-10-25,0,16.70,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-10-28,0,17.10,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-11-03,0,13.40,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-11-06,0,12.90,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-11-07,0,12.50,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-11-09,0,3.90,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-11-12,0,18.40,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-11-16,0,10.50,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-11-18,0,26.70,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-11-21,0,39.40,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-11-24,0,60.70,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-11-27,0,5.40,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-11-30,0,42.20,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-12-03,0,33.10,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-12-06,0,27.30,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-12-09,0,55.30,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-12-12,0,63.40,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-12-15,0,67.60,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-12-18,0,23.20,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-12-21,0,26.30,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-12-24,0,74.60,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
2032,A,2017-12-29,0,80.70,PM25,Micrograms/Cubic Meter ( ug/m<sup>3</sup> ),,,Visalia-N Church Street,36.332520000000002,-119.29095,D,11045, 
